cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
629500.0,5805500.0,4.9028,52.38442,1394,100.89,1.35
628500.0,5806500.0,4.88849,52.39365,1355,108.56,2.27
623500.0,5809500.0,4.81616,52.42175,1003,170.25,3.32
624500.0,5809500.0,4.83086,52.42153,983,167.99,7.4
626500.0,5808500.0,4.85987,52.41208,972,151.62,4.1
415500.0,5814500.0,1.75592,52.47411,916,22.24,2.66
588500.0,5685500.0,4.26984,51.31392,856,96.38,41.58
607500.0,5813500.0,4.58226,52.46108,824,171.8,2.84
609500.0,5729500.0,4.58471,51.70575,822,19.99,432.79
587500.0,5689500.0,4.25648,51.35003,821,153.43,12.16
628500.0,5805500.0,4.88811,52.38466,818,69.38,1.69
588500.0,5686500.0,4.27009,51.32291,795,87.46,45.31
598500.0,5677500.0,4.41108,51.24036,704,165.43,14.59
591500.0,5686500.0,4.31313,51.32243,686,113.95,15.92
605500.0,5813500.0,4.55283,52.46147,669,176.49,4.88
622500.0,5809500.0,4.80146,52.42198,665,169.84,6.39
627500.0,5807500.0,4.87419,52.40286,663,122.51,2.46
416500.0,5814500.0,1.77064,52.47427,662,54.15,2.65
625500.0,5809500.0,4.84556,52.4213,661,167.28,4.05
592500.0,5684500.0,4.32696,51.30429,647,116.26,16.55
554500.0,5689500.0,3.78267,51.35415,645,155.78,38.61
590500.0,5688500.0,4.29929,51.34057,639,105.47,7.63
541500.0,5698500.0,3.59704,51.43617,631,9.76,7.98
590500.0,5749500.0,4.31505,51.88891,626,63.31,1.49
597500.0,5675500.0,4.39621,51.22255,616,68.46,9.96
606500.0,5813500.0,4.56755,52.46128,613,4.59,3.66
585500.0,5690500.0,4.22801,51.35932,613,136.46,14.76
591500.0,5685500.0,4.31287,51.31344,607,114.06,28.48
621500.0,5809500.0,4.78676,52.4222,605,169.47,410.5
588500.0,5688500.0,4.27059,51.34088,592,115.64,13.12
542500.0,5698500.0,3.61143,51.4361,586,2.82,6.51
540500.0,5698500.0,3.58266,51.43625,583,1.04,2.06
590500.0,5687500.0,4.29904,51.33158,583,111.82,80.09
594500.0,5679500.0,4.35432,51.25901,582,124.28,11.13
588500.0,5687500.0,4.27034,51.3319,582,94.79,24.38
620500.0,5809500.0,4.77207,52.42242,576,125.21,1.98
598500.0,5728500.0,4.42529,51.6988,556,31.89,16.9
593500.0,5680500.0,4.34025,51.26817,551,121.45,8.71
628500.0,5807500.0,4.88888,52.40263,543,124.27,3.44
605500.0,5728500.0,4.52654,51.69753,540,11.8,466.32
592500.0,5683500.0,4.3267,51.2953,536,117.4,75.99
597500.0,5677500.0,4.39675,51.24053,533,163.86,15.64
561500.0,5689500.0,3.88318,51.35344,524,28.04,85.25
608500.0,5729500.0,4.57025,51.70594,517,19.8,993.28
595500.0,5678500.0,4.36838,51.24986,514,176.97,20.32
593500.0,5682500.0,4.34078,51.28615,504,116.96,19.57
578500.0,5757500.0,4.14254,51.96265,495,142.87,5.6
627500.0,5808500.0,4.87457,52.41185,495,137.37,24.04
619500.0,5810500.0,4.75773,52.43163,494,169.92,109.3
593500.0,5681500.0,4.34051,51.27716,484,85.55,4.05
597500.0,5727500.0,4.41055,51.68998,484,42.44,120.15
615500.0,5742500.0,4.67583,51.82138,479,10.81,3.09
597500.0,5676500.0,4.39648,51.23154,472,92.78,5.85
532500.0,5705500.0,3.46821,51.4997,468,141.88,936.96
558500.0,5688500.0,3.83994,51.34476,466,0.0,33.04
631500.0,5805500.0,4.93216,52.38395,463,4.02,3.05
606500.0,5728500.0,4.54101,51.69734,462,16.98,367.32
620500.0,5808500.0,4.77171,52.41344,458,107.7,13.51
618500.0,5810500.0,4.74302,52.43185,452,171.09,19.21
584500.0,5692500.0,4.21412,51.37745,448,106.96,140.52
539500.0,5697500.0,3.56816,51.42733,446,40.01,4.34
557500.0,5688500.0,3.82558,51.34487,445,2.42,5.17
610500.0,5740500.0,4.60268,51.80442,443,164.01,111.69
494500.0,5676500.0,2.92121,51.23984,441,123.84,20.26
617500.0,5810500.0,4.72832,52.43206,441,163.36,3.68
615500.0,5811500.0,4.69926,52.44147,440,140.32,547.45
596500.0,5750500.0,4.40248,51.89689,440,15.65,2.89
570500.0,5698500.0,4.0142,51.43331,436,142.65,35.4
604500.0,5728500.0,4.51208,51.69771,431,6.47,546.72
588500.0,5684500.0,4.26959,51.30493,428,100.94,3.82
543500.0,5698500.0,3.62581,51.43602,426,7.79,18.42
599500.0,5728500.0,4.43976,51.69862,425,174.74,42.36
590500.0,5689500.0,4.29955,51.34956,423,90.83,9.43
551500.0,5661500.0,3.73556,51.10267,412,63.86,1.93
593500.0,5750500.0,4.3589,51.89741,412,11.65,9.77
417500.0,5811500.0,1.7861,52.44745,412,114.85,7.16
556500.0,5688500.0,3.81123,51.34497,409,153.55,2.36
607500.0,5742500.0,4.5598,51.82298,405,107.65,147.21
623500.0,5808500.0,4.81579,52.41277,405,110.71,35.4
562500.0,5690500.0,3.89772,51.36232,405,36.88,181.5
613500.0,5740500.0,4.64617,51.80382,404,44.15,23.92
493500.0,5677500.0,2.90687,51.24883,399,122.04,11.36
573500.0,5759500.0,4.07021,51.98131,399,151.83,36.61
610500.0,5729500.0,4.59918,51.70555,399,21.07,271.53
596500.0,5677500.0,4.38243,51.2407,398,176.41,16.07
590500.0,5683500.0,4.29802,51.29562,394,159.19,38.31
612500.0,5740500.0,4.63167,51.80402,391,27.13,10.57
589500.0,5683500.0,4.28368,51.29578,390,142.99,3.03
614500.0,5742500.0,4.66133,51.82159,390,35.38,13.65
597500.0,5750500.0,4.41701,51.89672,389,57.59,1.62
629500.0,5742500.0,4.87885,51.81831,389,20.13,7.25
534500.0,5703500.0,3.49683,51.4816,387,127.78,203.33
559500.0,5688500.0,3.8543,51.34466,384,12.46,66.64
633500.0,5804500.0,4.96113,52.37448,383,108.5,7.17
577500.0,5758500.0,4.12821,51.97177,382,147.07,5.91
552500.0,5690500.0,3.7541,51.36333,379,152.6,35.78
633500.0,5803500.0,4.96074,52.36549,378,103.4,33.94
583500.0,5694500.0,4.20023,51.39558,377,154.94,8.24
585500.0,5752500.0,4.24315,51.91667,376,141.14,4.08
612500.0,5735500.0,4.63005,51.75908,373,102.79,19.2
554500.0,5666500.0,3.77917,51.14735,371,70.96,1.92
594500.0,5678500.0,4.35405,51.25002,371,103.57,3.73
613500.0,5741500.0,4.6465,51.8128,369,51.83,87.2
632500.0,5805500.0,4.94685,52.38371,368,166.8,2.64
595500.0,5677500.0,4.36811,51.24087,365,3.39,8.16
556500.0,5671500.0,3.80854,51.19212,361,92.22,20.28
564500.0,5691500.0,3.92662,51.37109,361,38.06,496.59
546500.0,5699500.0,3.6691,51.44478,361,122.96,1.79
600500.0,5728500.0,4.45422,51.69844,360,167.31,465.69
629500.0,5804500.0,4.90241,52.37544,360,61.24,2.69
630500.0,5805500.0,4.91748,52.38419,359,11.81,34.51
533500.0,5704500.0,3.48252,51.49065,354,141.73,870.0
