cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
368500.0,-2651500.0,-46.2925,-23.96993,704,122.75,4.21
368500.0,-2652500.0,-46.29259,-23.97896,646,88.87,3.66
365500.0,-2647500.0,-46.32162,-23.93356,609,169.43,5.67
366500.0,-2647500.0,-46.31179,-23.93364,599,126.54,2.6
367500.0,-2650500.0,-46.30224,-23.96082,543,131.31,8.79
366500.0,-2648500.0,-46.31188,-23.94267,534,95.18,3.32
368500.0,-2653500.0,-46.29268,-23.98799,502,50.44,5.62
366500.0,-2649500.0,-46.31197,-23.9517,343,112.38,16.61
361500.0,-2645500.0,-46.36072,-23.91516,273,172.23,13.88
364500.0,-2646500.0,-46.33135,-23.92444,251,159.99,12.05
367500.0,-2654500.0,-46.3026,-23.99694,214,2.27,13.04
363500.0,-2646500.0,-46.34117,-23.92436,205,168.49,1.96
368500.0,-2654500.0,-46.29277,-23.99702,170,76.71,7.41
360500.0,-2645500.0,-46.37055,-23.91507,165,159.0,3.2
363500.0,-2657500.0,-46.3422,-24.02369,157,70.85,109.81
367500.0,-2649500.0,-46.30215,-23.95179,155,123.72,174.26
360500.0,-2665500.0,-46.37246,-24.09566,150,68.01,21.49
360500.0,-2664500.0,-46.37236,-24.08663,147,66.96,187.01
366500.0,-2653500.0,-46.31234,-23.98782,144,172.19,26.05
359500.0,-2668500.0,-46.38259,-24.12266,122,75.12,55.72
358500.0,-2670500.0,-46.39262,-24.14063,119,77.89,128.02
365500.0,-2646500.0,-46.32152,-23.92453,114,155.62,7.13
360500.0,-2666500.0,-46.37256,-24.10469,114,66.49,14.81
364500.0,-2654500.0,-46.33209,-23.99668,113,49.05,47.63
362500.0,-2645500.0,-46.3509,-23.91524,110,174.61,13.79
359500.0,-2667500.0,-46.38249,-24.11363,105,70.67,239.48
362500.0,-2662500.0,-46.3525,-24.06875,99,9.54,118.96
366500.0,-2654500.0,-46.31243,-23.99685,98,176.99,49.29
363500.0,-2656500.0,-46.34211,-24.01466,96,69.71,231.91
362500.0,-2659500.0,-46.35222,-24.04166,96,69.55,120.54
358500.0,-2671500.0,-46.39272,-24.14966,96,82.65,41.92
361500.0,-2662500.0,-46.36234,-24.06866,93,69.87,71.27
379500.0,-2663500.0,-46.1854,-24.07917,93,173.2,370.25
359500.0,-2669500.0,-46.38268,-24.13169,92,82.09,143.8
362500.0,-2660500.0,-46.35231,-24.05069,89,65.8,17.14
365500.0,-2654500.0,-46.32226,-23.99677,86,21.2,47.72
363500.0,-2662500.0,-46.34267,-24.06884,84,117.8,5.79
364500.0,-2655500.0,-46.33218,-24.00571,84,62.76,32.53
358500.0,-2672500.0,-46.39282,-24.15869,81,85.77,100.53
361500.0,-2663500.0,-46.36243,-24.07769,76,143.38,345.62
374500.0,-2663500.0,-46.23458,-24.07878,75,77.32,241.54
367500.0,-2648500.0,-46.30206,-23.94276,74,125.54,26.72
378500.0,-2663500.0,-46.19523,-24.07909,73,172.7,103.97
358500.0,-2675500.0,-46.39311,-24.18578,73,96.09,258.92
363500.0,-2659500.0,-46.34239,-24.04175,73,89.65,11.23
363500.0,-2655500.0,-46.34201,-24.00563,67,63.94,43.07
363500.0,-2658500.0,-46.34229,-24.03272,67,71.16,11.58
362500.0,-2658500.0,-46.35213,-24.03263,67,69.99,453.02
478500.0,-2654500.0,-45.21139,-24.00232,63,96.85,818.69
369500.0,-2652500.0,-46.28277,-23.97904,62,70.15,20.05
362500.0,-2661500.0,-46.35241,-24.05972,60,102.01,1.38
359500.0,-2665500.0,-46.3823,-24.09557,60,56.8,11.19
358500.0,-2674500.0,-46.39301,-24.17675,60,94.97,55.4
358500.0,-2669500.0,-46.39252,-24.1316,60,78.97,269.75
372500.0,-2691500.0,-46.25672,-24.33145,60,45.58,54739.42
351500.0,-2699500.0,-46.4645,-24.40183,60,166.64,6233.9
479500.0,-2654500.0,-45.20155,-24.00234,60,103.43,4167.7
367500.0,-2651500.0,-46.30233,-23.96985,59,129.04,1.52
458500.0,-2635500.0,-45.40748,-23.83032,59,41.6,5.95
362500.0,-2646500.0,-46.35099,-23.92427,58,68.14,3.72
366500.0,-2659500.0,-46.31289,-24.042,58,149.03,29.63
361500.0,-2680500.0,-46.36406,-24.23119,58,119.04,66.75
375500.0,-2664500.0,-46.22483,-24.08789,57,176.47,18.78
359500.0,-2676500.0,-46.38337,-24.1949,56,105.71,83.53
361500.0,-2679500.0,-46.36397,-24.22216,55,120.85,391.41
368500.0,-2650500.0,-46.29241,-23.9609,54,124.69,2.87
361500.0,-2661500.0,-46.36224,-24.05963,54,67.74,44.51
474500.0,-2663500.0,-45.25087,-24.08355,54,27.06,366.87
358500.0,-2673500.0,-46.39292,-24.16772,53,179.04,5366.74
365500.0,-2653500.0,-46.32217,-23.98774,51,4.42,3.77
460500.0,-2633500.0,-45.38779,-23.8123,49,72.25,9.22
364500.0,-2679500.0,-46.33443,-24.22243,48,151.73,12.27
393500.0,-2665500.0,-46.04784,-24.09823,48,72.39,16618.81
357500.0,-2690500.0,-46.40444,-24.32113,47,86.47,4269.56
360500.0,-2667500.0,-46.37265,-24.11372,45,146.94,1143.33
363500.0,-2679500.0,-46.34427,-24.22234,45,84.45,2097.13
362500.0,-2663500.0,-46.3526,-24.07778,44,135.26,319.01
366500.0,-2646500.0,-46.3117,-23.92461,43,46.28,2.53
373500.0,-2663500.0,-46.24441,-24.0787,43,86.82,279.22
360500.0,-2641500.0,-46.37016,-23.87895,43,27.02,8.4
360500.0,-2663500.0,-46.37227,-24.0776,43,66.58,1421.84
474500.0,-2687500.0,-45.2513,-24.30032,42,96.84,8744.48
360500.0,-2672500.0,-46.37314,-24.15887,41,157.08,5.33
351500.0,-2700500.0,-46.4646,-24.41086,41,166.69,20503.14
410500.0,-2700500.0,-45.88278,-24.41537,39,117.18,1293.89
357500.0,-2689500.0,-46.40434,-24.3121,39,175.74,51416.6
355500.0,-2675500.0,-46.42264,-24.18551,38,70.12,31.3
356500.0,-2674500.0,-46.4127,-24.17657,38,68.2,9.07
