cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
357500.0,3472500.0,121.50145,31.37831,7262,72.36,11.03
356500.0,3456500.0,121.49324,31.23387,6736,137.71,4.82
357500.0,3471500.0,121.5016,31.36929,5827,93.35,10.7
357500.0,3470500.0,121.50174,31.36027,5563,124.63,11.43
359500.0,3476500.0,121.52191,31.41463,5357,147.69,19.77
357500.0,3453500.0,121.50416,31.20694,5247,71.1,4.94
359500.0,3474500.0,121.5222,31.39659,5188,21.81,5.83
310500.0,3517500.0,120.99876,31.77735,4946,171.76,70.17
364500.0,3473500.0,121.57491,31.38817,4910,153.73,20.16
358500.0,3477500.0,121.51125,31.42353,4786,149.62,32.82
360500.0,3468500.0,121.53355,31.3426,4697,163.55,5.44
358500.0,3469500.0,121.51239,31.35137,4640,147.83,19.53
309500.0,3517500.0,120.98821,31.77718,4505,176.53,51.19
366500.0,3472500.0,121.59607,31.37938,4484,152.48,32.01
357500.0,3455500.0,121.50388,31.22498,4471,123.13,2.96
353500.0,3482500.0,121.45793,31.46801,4425,130.87,74.5
373500.0,3468500.0,121.67018,31.34409,4422,149.67,49.13
357500.0,3473500.0,121.50131,31.38733,4408,53.81,43.26
357500.0,3477500.0,121.50074,31.42341,4402,144.65,26.12
327500.0,3506500.0,121.18015,31.68085,4302,144.43,57.87
325500.0,3507500.0,121.15889,31.68956,4230,146.08,17.18
356500.0,3478500.0,121.49007,31.43231,4214,130.76,22.1
259500.0,3477500.0,120.47034,31.40721,4186,130.82,152.56
352500.0,3483500.0,121.44725,31.4769,4186,131.43,81.71
363500.0,3474500.0,121.56426,31.39707,4171,150.64,21.33
324500.0,3508500.0,121.14816,31.69843,4168,145.78,38.95
354500.0,3481500.0,121.4686,31.45911,4160,131.3,37.89
368500.0,3471500.0,121.61723,31.37059,4149,150.97,51.91
311500.0,3517500.0,121.00932,31.77751,4121,169.22,67.61
361500.0,3475500.0,121.54309,31.40586,4001,150.66,52.02
260500.0,3476500.0,120.48109,31.3984,3984,130.19,252.65
