cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
361500.0,140500.0,103.75513,1.27084,2767,144.7,9.68
360500.0,141500.0,103.74614,1.27988,2605,98.19,2.14
361500.0,142500.0,103.75512,1.28893,2057,30.81,6.5
362500.0,139500.0,103.76412,1.2618,2003,133.11,11.38
365500.0,138500.0,103.79109,1.25277,1901,47.27,2.45
364500.0,136500.0,103.78211,1.23468,1856,117.89,3.32
366500.0,134500.0,103.80009,1.21659,1696,138.33,16.78
358500.0,143500.0,103.72816,1.29797,1638,124.51,7.23
363500.0,139500.0,103.77311,1.26181,1581,136.1,4.92
383500.0,142500.0,103.95284,1.28902,1522,11.95,7.0
364500.0,138500.0,103.7821,1.25277,1519,149.32,4.27
367500.0,133500.0,103.80908,1.20755,1511,143.18,5.98
350500.0,137500.0,103.65629,1.24366,1474,117.53,13.31
372500.0,133500.0,103.85401,1.20757,1441,22.58,20.22
364500.0,137500.0,103.7821,1.24372,1428,116.35,2.73
362500.0,140500.0,103.76412,1.27085,1389,147.12,14.91
360500.0,140500.0,103.74614,1.27084,1341,133.59,1.29
352500.0,134500.0,103.67428,1.21653,1334,8.45,3.98
365500.0,135500.0,103.7911,1.22563,1305,128.54,20.98
373500.0,134500.0,103.863,1.21662,1264,40.06,22.74
371500.0,139500.0,103.845,1.26184,1252,149.06,4.75
383500.0,137500.0,103.95286,1.24379,1249,22.99,4.03
404500.0,141500.0,104.14159,1.28005,1208,10.42,3.31
380500.0,156500.0,103.92582,1.41565,1180,144.92,10.29
374500.0,135500.0,103.87198,1.22567,1167,53.78,2.57
384500.0,137500.0,103.96184,1.2438,1165,15.51,10.99
351500.0,133500.0,103.66529,1.20748,1159,24.92,5.7
401500.0,141500.0,104.11462,1.28004,1140,31.83,4.33
372500.0,138500.0,103.85399,1.2528,1137,161.35,1.93
357500.0,137500.0,103.7192,1.24369,1124,27.51,12.98
387500.0,140500.0,103.9888,1.27095,1108,11.41,2.03
362500.0,138500.0,103.76413,1.25276,1091,82.5,2.59
363500.0,137500.0,103.77312,1.24372,1084,135.3,4.27
363500.0,138500.0,103.77311,1.25276,1076,127.86,3.86
371500.0,133500.0,103.84503,1.20757,1069,12.7,15.98
382500.0,137500.0,103.94387,1.24379,1066,23.34,5.13
356500.0,136500.0,103.71021,1.23464,1064,43.14,6.55
378500.0,157500.0,103.90784,1.42469,1059,169.92,13.36
385500.0,139500.0,103.97083,1.26189,1055,10.27,4.86
373500.0,132500.0,103.863,1.19853,1047,28.2,11.45
386500.0,139500.0,103.97981,1.2619,1047,4.0,3.69
389500.0,153500.0,104.00672,1.38855,1035,43.22,1.79
358500.0,137500.0,103.72818,1.2437,1030,2.72,37.19
361500.0,137500.0,103.75514,1.24371,1026,14.28,4.86
359500.0,142500.0,103.73715,1.28892,1023,135.19,7.41
386500.0,138500.0,103.97982,1.25285,1018,8.48,6.13
351500.0,135500.0,103.66529,1.22557,1015,116.52,9.88
382500.0,142500.0,103.94385,1.28902,1014,11.85,4.21
350500.0,133500.0,103.65631,1.20748,1006,25.71,4.32
368500.0,133500.0,103.81807,1.20756,1005,168.57,15.77
382500.0,141500.0,103.94386,1.27997,1004,21.04,4.77
387500.0,139500.0,103.9888,1.2619,1000,5.68,3.98
386500.0,142500.0,103.9798,1.28903,992,5.16,3.24
388500.0,139500.0,103.99779,1.2619,991,177.76,4.64
350500.0,136500.0,103.6563,1.23461,985,114.47,20.02
405500.0,141500.0,104.15057,1.28005,976,5.68,12.33
374500.0,139500.0,103.87196,1.26185,971,34.0,2.52
379500.0,157500.0,103.91683,1.42469,964,156.15,11.14
379500.0,136500.0,103.91691,1.23473,953,19.96,16.0
398500.0,140500.0,104.08766,1.27098,945,17.58,2.5
411500.0,142500.0,104.2045,1.28911,945,11.05,78.53
381500.0,141500.0,103.93487,1.27997,940,17.05,3.83
356500.0,137500.0,103.71021,1.24369,939,31.81,14.73
376500.0,134500.0,103.88996,1.21663,936,9.28,12.89
353500.0,135500.0,103.68326,1.22558,935,37.37,17.51
372500.0,132500.0,103.85402,1.19853,934,25.41,19.73
393500.0,142500.0,104.04272,1.28906,934,35.43,4.08
359500.0,139500.0,103.73716,1.26179,927,43.93,16.25
375500.0,132500.0,103.88098,1.19854,926,21.61,8.47
380500.0,139500.0,103.92589,1.26188,924,15.85,4.04
349500.0,137500.0,103.6473,1.24365,921,156.98,5.14
360500.0,137500.0,103.74616,1.2437,915,0.58,9.02
355500.0,135500.0,103.70123,1.22559,914,28.13,6.1
359500.0,137500.0,103.73717,1.2437,913,177.17,3.56
367500.0,128500.0,103.8091,1.16233,912,27.66,25.17
399500.0,140500.0,104.09665,1.27099,911,23.11,10.08
402500.0,141500.0,104.12361,1.28004,908,35.3,4.4
384500.0,142500.0,103.96183,1.28903,903,11.06,4.64
354500.0,136500.0,103.69224,1.23463,902,40.89,7.49
373500.0,133500.0,103.863,1.20758,896,25.45,9.78
352500.0,142500.0,103.67424,1.28889,896,29.67,15.82
373500.0,131500.0,103.86301,1.18948,895,6.47,6.04
365500.0,127500.0,103.79113,1.15327,893,36.78,13.75
381500.0,139500.0,103.93488,1.26188,893,0.16,5.33
397500.0,140500.0,104.07867,1.27098,884,5.59,10.44
374500.0,133500.0,103.87199,1.20758,880,40.55,1.83
384500.0,139500.0,103.96184,1.26189,878,9.65,6.76
407500.0,141500.0,104.16855,1.28006,878,7.2,10.42
387500.0,138500.0,103.9888,1.25285,874,5.66,8.89
350500.0,141500.0,103.65627,1.27984,871,34.35,15.75
406500.0,141500.0,104.15956,1.28005,870,6.9,10.99
412500.0,142500.0,104.21349,1.28912,869,11.08,64.87
362500.0,142500.0,103.76411,1.28894,865,167.89,2.18
373500.0,140500.0,103.86297,1.27089,865,18.07,2.69
378500.0,135500.0,103.90793,1.22569,858,21.16,9.59
385500.0,142500.0,103.97081,1.28903,856,174.61,3.13
381500.0,142500.0,103.93486,1.28902,854,21.31,5.8
380500.0,136500.0,103.9259,1.23474,848,22.97,33.96
386500.0,143500.0,103.9798,1.29808,848,12.29,2.79
368500.0,132500.0,103.81807,1.19851,845,157.47,2.17
392500.0,137500.0,104.03374,1.24383,844,6.73,15.64
371500.0,132500.0,103.84503,1.19852,843,16.0,20.87
405500.0,142500.0,104.15057,1.2891,843,2.32,11.17
379500.0,135500.0,103.91692,1.22569,843,19.26,15.7
370500.0,133500.0,103.83604,1.20756,836,178.71,14.11
387500.0,143500.0,103.98879,1.29808,836,10.57,3.69
390500.0,139500.0,104.01576,1.26191,835,5.43,24.98
349500.0,140500.0,103.64729,1.27079,826,84.5,4.8
371500.0,137500.0,103.84501,1.24375,825,45.01,28.66
389500.0,139500.0,104.00678,1.26191,824,177.22,16.74
379500.0,141500.0,103.91689,1.27996,819,26.15,12.86
389500.0,154500.0,104.00672,1.3976,818,74.41,2.0
375500.0,133500.0,103.88097,1.20758,815,20.02,7.77
365500.0,137500.0,103.79109,1.24372,814,61.04,2.32
377500.0,135500.0,103.89894,1.22568,811,23.48,6.42
351500.0,141500.0,103.66526,1.27984,808,26.14,6.56
374500.0,131500.0,103.872,1.18949,807,26.88,13.02
403500.0,141500.0,104.1326,1.28005,806,17.03,3.1
366500.0,128500.0,103.80011,1.16232,804,32.41,42.03
373500.0,138500.0,103.86298,1.2528,804,172.0,2.34
381500.0,136500.0,103.93489,1.23474,804,19.47,15.44
382500.0,138500.0,103.94387,1.25284,804,25.64,2.71
374500.0,134500.0,103.87198,1.21662,803,39.04,5.85
383500.0,138500.0,103.95285,1.25284,800,24.23,4.12
400500.0,140500.0,104.10564,1.27099,798,24.85,6.35
367500.0,139500.0,103.80906,1.26182,795,6.46,3.8
382500.0,139500.0,103.94386,1.26188,791,178.97,3.09
387500.0,142500.0,103.98879,1.28904,790,14.9,4.83
369500.0,133500.0,103.82705,1.20756,789,168.83,22.03
373500.0,139500.0,103.86298,1.26185,789,4.75,2.08
393500.0,139500.0,104.04273,1.26192,789,6.64,6.01
366500.0,133500.0,103.80009,1.20755,786,125.45,3.19
377500.0,138500.0,103.89893,1.25282,786,32.22,3.97
339500.0,145500.0,103.5574,1.31596,782,87.64,107.93
400500.0,141500.0,104.10563,1.28004,780,33.21,5.44
376500.0,135500.0,103.88995,1.22568,766,23.01,8.98
414500.0,143500.0,104.23146,1.29817,765,12.96,8.42
401500.0,140500.0,104.11462,1.27099,762,28.98,6.1
376500.0,133500.0,103.88996,1.20759,761,17.53,4.27
346500.0,133500.0,103.62036,1.20746,761,168.0,28.87
385500.0,138500.0,103.97083,1.25285,759,5.1,6.43
376500.0,138500.0,103.88994,1.25281,758,37.67,1.87
378500.0,136500.0,103.90792,1.23473,752,12.54,3.85
360500.0,142500.0,103.74613,1.28893,752,33.08,2.01
361500.0,143500.0,103.75512,1.29798,750,150.33,1.38
383500.0,141500.0,103.95284,1.27998,747,11.93,5.35
378500.0,140500.0,103.90791,1.27091,746,29.4,8.94
406500.0,142500.0,104.15956,1.2891,740,9.58,9.42
403500.0,140500.0,104.1326,1.271,740,7.91,14.78
370500.0,131500.0,103.83605,1.18947,739,8.64,17.5
410500.0,142500.0,104.19551,1.28911,739,28.15,4.64
364500.0,135500.0,103.78211,1.22563,738,55.57,1.24
338500.0,149500.0,103.54839,1.35213,738,110.69,5.41
359500.0,141500.0,103.73715,1.27988,737,139.96,10.99
349500.0,133500.0,103.64732,1.20748,737,14.64,7.38
358500.0,120500.0,103.72825,1.08993,736,38.06,25.11
394500.0,143500.0,104.0517,1.29811,731,32.9,2.21
358500.0,138500.0,103.72818,1.25274,726,37.52,14.17
399500.0,141500.0,104.09665,1.28003,725,41.95,3.24
377500.0,157500.0,103.89885,1.42468,721,175.84,3.48
369500.0,136500.0,103.82704,1.2347,719,146.25,5.98
368500.0,129500.0,103.81808,1.17137,719,22.91,38.4
365500.0,139500.0,103.79108,1.26182,719,71.66,7.03
396500.0,140500.0,104.06969,1.27098,718,3.86,6.5
384500.0,141500.0,103.96183,1.27998,717,14.13,3.0
367500.0,130500.0,103.80909,1.18042,714,18.01,7.77
390500.0,153500.0,104.01571,1.38855,714,129.8,13.82
365500.0,136500.0,103.79109,1.23468,711,122.35,3.52
391500.0,142500.0,104.02474,1.28905,704,5.89,4.68
355500.0,136500.0,103.70123,1.23464,700,34.86,6.48
391500.0,137500.0,104.02476,1.24382,698,13.04,3.22
408500.0,142500.0,104.17753,1.28911,698,6.54,10.74
371500.0,138500.0,103.84501,1.25279,697,157.12,3.26
384500.0,138500.0,103.96184,1.25284,697,7.03,8.66
368500.0,137500.0,103.81805,1.24374,694,146.24,21.36
369500.0,130500.0,103.82706,1.18042,694,21.57,7.38
400500.0,143500.0,104.10563,1.29813,694,111.15,2.43
402500.0,140500.0,104.12361,1.271,693,48.81,2.17
409500.0,142500.0,104.18652,1.28911,692,18.34,7.1
392500.0,141500.0,104.03373,1.28001,691,33.21,3.88
395500.0,140500.0,104.0607,1.27097,689,4.37,6.72
383500.0,139500.0,103.95285,1.26189,688,9.29,4.61
392500.0,140500.0,104.03373,1.27096,688,5.43,2.64
348500.0,133500.0,103.63834,1.20747,686,170.1,22.43
381500.0,137500.0,103.93488,1.24379,684,21.65,11.08
350500.0,135500.0,103.6563,1.22557,683,102.06,7.29
374500.0,132500.0,103.87199,1.19853,683,22.32,15.95
419500.0,144500.0,104.2764,1.30723,681,4.93,15.92
385500.0,141500.0,103.97082,1.27998,681,17.33,4.56
424500.0,145500.0,104.32134,1.31629,678,79.1,1.06
353500.0,134500.0,103.68326,1.21654,676,29.87,10.69
354500.0,135500.0,103.69225,1.22559,676,37.15,10.23
374500.0,140500.0,103.87196,1.2709,675,174.64,1.4
385500.0,137500.0,103.97083,1.2438,675,14.3,17.08
339500.0,144500.0,103.55741,1.30692,674,77.33,82.81
388500.0,140500.0,103.99778,1.27095,671,8.83,14.84
392500.0,139500.0,104.03374,1.26192,671,177.25,19.3
388500.0,142500.0,103.99778,1.28904,670,11.51,6.63
372500.0,130500.0,103.85402,1.18044,668,11.27,12.03
370500.0,130500.0,103.83605,1.18043,666,29.28,3.02
368500.0,139500.0,103.81804,1.26183,665,2.53,4.5
377500.0,133500.0,103.89895,1.20759,663,2.91,1.34
347500.0,133500.0,103.62935,1.20747,658,169.69,48.81
382500.0,136500.0,103.94387,1.23475,657,26.75,28.64
351500.0,132500.0,103.6653,1.19844,657,83.83,2.69
378500.0,141500.0,103.90791,1.27996,655,23.34,13.26
415500.0,143500.0,104.24045,1.29817,655,11.21,5.57
348500.0,137500.0,103.63832,1.24365,654,6.95,8.39
413500.0,143500.0,104.22247,1.29817,653,10.65,30.37
371500.0,130500.0,103.84504,1.18043,650,17.91,4.45
375500.0,135500.0,103.88097,1.22567,647,30.64,3.33
361500.0,141500.0,103.75513,1.27989,647,136.25,3.11
394500.0,149500.0,104.05168,1.35238,646,121.73,2.71
352500.0,133500.0,103.67428,1.20749,645,20.76,1.95
387500.0,141500.0,103.98879,1.27999,644,8.22,3.98
351500.0,134500.0,103.66529,1.21653,643,165.71,1.09
354500.0,128500.0,103.69228,1.16227,641,146.81,42.31
378500.0,138500.0,103.90792,1.25282,640,21.8,7.34
363500.0,128500.0,103.77315,1.16231,639,29.54,26.66
391500.0,152500.0,104.0247,1.37951,638,141.13,3.68
365500.0,134500.0,103.7911,1.21659,637,120.0,4.36
369500.0,129500.0,103.82707,1.17138,637,23.38,24.08
349500.0,139500.0,103.6473,1.26174,636,97.7,4.18
391500.0,139500.0,104.02475,1.26191,636,3.77,16.5
369500.0,131500.0,103.82706,1.18947,635,175.46,13.43
367500.0,134500.0,103.80908,1.2166,635,142.68,3.14
377500.0,158500.0,103.89885,1.43373,634,173.12,4.08
349500.0,115500.0,103.6474,1.04467,633,169.5,3.26
345500.0,133500.0,103.61138,1.20746,631,168.87,25.71
372500.0,139500.0,103.85399,1.26184,631,168.64,1.94
363500.0,125500.0,103.77316,1.13517,630,38.56,33.89
372500.0,137500.0,103.854,1.24375,626,117.59,1.1
380500.0,134500.0,103.92591,1.21665,624,19.69,1.7
366500.0,135500.0,103.80008,1.22564,624,129.56,2.63
387500.0,136500.0,103.98881,1.23476,622,8.21,19.0
389500.0,143500.0,104.00676,1.29809,622,2.1,3.69
359500.0,121500.0,103.73723,1.09898,621,47.77,29.34
377500.0,134500.0,103.89895,1.21664,621,20.28,3.61
357500.0,138500.0,103.71919,1.25274,620,33.45,10.07
380500.0,141500.0,103.92588,1.27997,618,27.12,7.25
367500.0,131500.0,103.80909,1.18946,617,25.05,12.12
381500.0,138500.0,103.93488,1.25283,617,2.48,3.35
375500.0,134500.0,103.88097,1.21663,616,8.62,4.16
371500.0,131500.0,103.84503,1.18948,615,18.0,8.48
408500.0,141500.0,104.17754,1.28006,612,10.21,32.42
390500.0,155500.0,104.01571,1.40665,611,23.49,10.84
394500.0,139500.0,104.05171,1.26192,611,10.95,9.0
378500.0,139500.0,103.90791,1.26187,610,27.5,5.42
403500.0,142500.0,104.13259,1.28909,610,174.49,4.41
368500.0,130500.0,103.81808,1.18042,608,18.08,12.09
393500.0,137500.0,104.04273,1.24383,608,15.95,6.3
375500.0,136500.0,103.88096,1.23472,607,36.67,4.27
365500.0,129500.0,103.79112,1.17136,606,23.92,28.14
412500.0,143500.0,104.21348,1.29816,606,9.45,42.44
393500.0,143500.0,104.04271,1.2981,606,28.77,7.49
390500.0,154500.0,104.01571,1.3976,604,86.67,2.92
356500.0,127500.0,103.71025,1.15324,601,150.81,15.31
360500.0,122500.0,103.74622,1.10803,600,47.99,67.52
380500.0,140500.0,103.92588,1.27092,599,26.89,3.83
377500.0,139500.0,103.89893,1.26186,597,23.12,3.29
423500.0,145500.0,104.31235,1.31629,597,119.89,1.23
376500.0,136500.0,103.88995,1.23472,596,32.02,4.7
404500.0,142500.0,104.14158,1.28909,593,10.42,15.4
354500.0,137500.0,103.69224,1.24368,592,106.69,8.34
366500.0,130500.0,103.8001,1.18041,589,16.53,24.43
350500.0,138500.0,103.65629,1.2527,589,112.56,40.76
392500.0,142500.0,104.03373,1.28906,588,10.81,4.54
380500.0,142500.0,103.92588,1.28901,586,19.06,3.92
402500.0,142500.0,104.12361,1.28909,585,171.04,2.49
370500.0,132500.0,103.83604,1.19852,584,4.25,12.89
374500.0,136500.0,103.87198,1.23472,583,117.28,1.62
357500.0,136500.0,103.7192,1.23465,582,48.72,2.31
353500.0,129500.0,103.68328,1.17131,581,148.23,7.22
399500.0,144500.0,104.09664,1.30717,580,130.54,18.49
352500.0,130500.0,103.67429,1.18035,579,151.65,6.82
376500.0,137500.0,103.88995,1.24377,579,53.61,3.59
350500.0,134500.0,103.6563,1.21653,578,68.71,2.54
355500.0,128500.0,103.70126,1.16228,577,148.32,137.29
377500.0,136500.0,103.89894,1.23473,573,22.68,4.58
386500.0,141500.0,103.97981,1.27999,573,3.17,1.91
389500.0,137500.0,104.00678,1.24382,572,167.32,12.14
379500.0,139500.0,103.9169,1.26187,571,22.34,8.14
357500.0,126500.0,103.71924,1.1442,570,151.27,4.45
351500.0,130500.0,103.66531,1.18035,570,175.19,3.84
391500.0,155500.0,104.02469,1.40665,568,16.49,5.43
416500.0,143500.0,104.24944,1.29818,568,38.63,3.68
362500.0,124500.0,103.76418,1.12613,567,44.79,47.5
347500.0,116500.0,103.62942,1.05371,566,146.92,11.78
372500.0,131500.0,103.85402,1.18948,562,11.27,5.52
388500.0,143500.0,103.99777,1.29809,562,10.5,3.43
373500.0,137500.0,103.86299,1.24376,561,133.49,6.49
407500.0,142500.0,104.16855,1.2891,560,21.02,8.24
422500.0,144500.0,104.30336,1.30724,559,8.8,9.1
362500.0,127500.0,103.76417,1.15326,558,29.81,31.56
376500.0,132500.0,103.88997,1.19854,557,10.55,4.55
383500.0,140500.0,103.95285,1.27093,554,17.85,3.9
401500.0,143500.0,104.11462,1.29813,554,150.91,3.28
378500.0,133500.0,103.90794,1.20759,553,169.64,3.53
360500.0,126500.0,103.7462,1.14421,553,8.5,2.72
377500.0,140500.0,103.89892,1.27091,552,28.31,5.37
354500.0,138500.0,103.69223,1.25272,551,115.41,9.64
369500.0,132500.0,103.82706,1.19851,550,174.51,14.23
358500.0,142500.0,103.72816,1.28892,550,128.24,6.35
380500.0,137500.0,103.9259,1.24378,549,22.37,25.33
368500.0,131500.0,103.81807,1.18947,547,173.24,3.55
388500.0,137500.0,103.99779,1.24381,547,171.78,5.32
370500.0,136500.0,103.83603,1.2347,546,17.52,4.47
390500.0,137500.0,104.01577,1.24382,545,6.08,26.14
384500.0,143500.0,103.96182,1.29807,544,18.59,3.62
394500.0,144500.0,104.0517,1.30715,543,68.52,4.39
361500.0,127500.0,103.75518,1.15326,542,32.64,25.52
379500.0,133500.0,103.91692,1.2076,541,176.74,9.6
362500.0,137500.0,103.76413,1.24371,535,1.46,5.62
417500.0,143500.0,104.25843,1.29818,532,22.16,4.2
354500.0,134500.0,103.69225,1.21654,531,43.33,4.99
398500.0,141500.0,104.08766,1.28003,531,16.57,1.99
389500.0,142500.0,104.00676,1.28905,531,14.98,3.73
346500.0,116500.0,103.62044,1.0537,528,145.98,55.07
309500.0,142500.0,103.28785,1.28866,527,145.52,50.47
392500.0,143500.0,104.03372,1.2981,527,16.87,14.8
366500.0,139500.0,103.80007,1.26182,525,87.44,7.94
386500.0,136500.0,103.97982,1.23476,525,11.66,10.84
366500.0,137500.0,103.80008,1.24373,524,155.02,3.69
420500.0,140500.0,104.2854,1.27105,523,6.09,58.58
361500.0,123500.0,103.7552,1.11708,523,48.86,40.93
389500.0,140500.0,104.00677,1.27095,523,16.59,6.71
391500.0,140500.0,104.02475,1.27096,521,9.45,2.47
381500.0,140500.0,103.93487,1.27092,520,37.0,3.32
397500.0,142500.0,104.07867,1.28907,519,173.69,1.84
395500.0,139500.0,104.0607,1.26193,518,2.4,12.65
367500.0,132500.0,103.80908,1.19851,518,13.3,1.31
420500.0,144500.0,104.28539,1.30723,518,9.84,11.88
394500.0,140500.0,104.05171,1.27097,517,4.12,14.23
310500.0,141500.0,103.29684,1.27962,516,139.17,34.73
352500.0,129500.0,103.6743,1.17131,515,148.62,7.76
338500.0,148500.0,103.5484,1.34309,515,112.06,10.76
364500.0,126500.0,103.78215,1.14422,514,37.74,30.03
377500.0,137500.0,103.89893,1.24377,514,23.74,3.44
421500.0,144500.0,104.29438,1.30723,513,10.06,20.83
388500.0,136500.0,103.9978,1.23477,512,7.82,25.64
395500.0,150500.0,104.06066,1.36143,505,24.67,2.19
366500.0,131500.0,103.8001,1.18946,505,22.07,16.99
406500.0,139500.0,104.15957,1.26196,505,8.0,10.97
390500.0,142500.0,104.01575,1.28905,498,15.15,6.64
385500.0,136500.0,103.97084,1.23476,498,13.51,3.61
421500.0,140500.0,104.29439,1.27105,496,6.92,27.19
332500.0,125500.0,103.4946,1.13504,496,58.5,280.39
400500.0,144500.0,104.10562,1.30717,496,126.4,2.76
375500.0,139500.0,103.88095,1.26186,495,17.43,6.02
359500.0,126500.0,103.73721,1.1442,494,149.24,1.34
351500.0,131500.0,103.6653,1.1894,494,43.65,1.77
376500.0,139500.0,103.88994,1.26186,493,26.18,3.43
379500.0,138500.0,103.9169,1.25283,493,21.22,5.77
