cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
334500.0,-3747500.0,151.21101,-33.85483,2038,36.81,1.18
335500.0,-3747500.0,151.22182,-33.85499,1097,3.04,8.46
333500.0,-3747500.0,151.20021,-33.85468,1067,16.52,1.89
336500.0,-3747500.0,151.23262,-33.85514,662,174.65,19.09
332500.0,-3746500.0,151.18959,-33.8455,577,143.83,9.14
328500.0,-3746500.0,151.14638,-33.84486,563,15.87,3.16
337500.0,-3747500.0,151.24343,-33.8553,553,173.56,11.48
331500.0,-3746500.0,151.17879,-33.84534,539,2.92,6.61
333500.0,-3748500.0,151.20002,-33.86369,534,98.68,3.19
332500.0,-3747500.0,151.1894,-33.85452,524,23.71,1.24
334500.0,-3760500.0,151.20856,-33.97202,492,38.65,4.87
335500.0,-3746500.0,151.222,-33.84597,473,110.49,2.56
329500.0,-3746500.0,151.15718,-33.84502,387,144.21,6.76
330500.0,-3746500.0,151.16798,-33.84518,372,8.09,172.83
340500.0,-3744500.0,151.27639,-33.82871,368,53.5,7.23
339500.0,-3745500.0,151.2654,-33.83758,344,52.59,30.7
334500.0,-3748500.0,151.21082,-33.86385,339,83.1,6.62
324500.0,-3745500.0,151.10336,-33.83519,314,144.82,3.69
308500.0,-3815500.0,150.9151,-34.4633,314,53.12,16.57
322500.0,-3744500.0,151.08196,-33.82584,281,3.03,26.59
334500.0,-3761500.0,151.20837,-33.98104,278,115.21,6.16
327500.0,-3746500.0,151.13557,-33.8447,275,0.67,4.46
335500.0,-3760500.0,151.21938,-33.97218,275,19.96,11.13
325500.0,-3745500.0,151.11417,-33.83535,271,158.85,2.66
340500.0,-3743500.0,151.27657,-33.8197,237,79.06,41.72
332500.0,-3748500.0,151.18921,-33.86353,227,15.88,8.71
323500.0,-3744500.0,151.09276,-33.82601,208,149.48,5.41
333500.0,-3746500.0,151.2004,-33.84566,206,164.55,3.23
307500.0,-3815500.0,150.90422,-34.46312,205,169.37,4.56
338500.0,-3748500.0,151.25405,-33.86447,199,152.59,10.56
338500.0,-3747500.0,151.25423,-33.85545,195,18.34,2.56
340500.0,-3742500.0,151.27675,-33.81068,169,79.27,21.38
335500.0,-3762500.0,151.219,-33.99021,163,143.12,28.84
338500.0,-3746500.0,151.25442,-33.84644,144,51.91,9.04
339500.0,-3748500.0,151.26486,-33.86462,141,116.49,3.8
338500.0,-3765500.0,151.25092,-34.01772,140,132.76,26.02
330500.0,-3747500.0,151.16779,-33.8542,140,54.65,2.25
326500.0,-3746500.0,151.12477,-33.84453,121,167.07,6.76
341500.0,-3741500.0,151.28773,-33.80182,119,70.88,12.48
336500.0,-3746500.0,151.23281,-33.84613,112,115.02,2.25
320500.0,-3744500.0,151.06036,-33.8255,101,137.36,1.93
339500.0,-3744500.0,151.26558,-33.82856,95,53.38,55.25
337500.0,-3764500.0,151.24028,-34.00855,87,134.28,36.36
340500.0,-3741500.0,151.27693,-33.80167,86,55.11,4.79
347500.0,-3764500.0,151.34853,-34.01005,84,36.15,5.7
336500.0,-3763500.0,151.22964,-33.99938,80,142.65,405.5
332500.0,-3754500.0,151.18807,-33.91762,79,78.16,1.47
321500.0,-3743500.0,151.07136,-33.81666,72,88.5,2.58
334500.0,-3762500.0,151.20818,-33.99005,72,22.47,2.13
332500.0,-3749500.0,151.18902,-33.87255,71,93.44,2.64
325500.0,-3746500.0,151.11397,-33.84437,71,174.25,2.59
321500.0,-3744500.0,151.07116,-33.82567,69,27.87,10.95
319500.0,-3744500.0,151.04956,-33.82533,68,74.68,2.19
349500.0,-3762500.0,151.37052,-33.99231,66,33.87,2.18
341500.0,-3744500.0,151.28719,-33.82886,64,167.05,4.61
323500.0,-3743500.0,151.09296,-33.81699,64,177.67,18.4
337500.0,-3748500.0,151.24324,-33.86431,62,165.35,1.28
335500.0,-3748500.0,151.22163,-33.864,55,97.55,4.56
340500.0,-3746500.0,151.27602,-33.84674,54,12.22,3.95
333500.0,-3759500.0,151.19793,-33.96285,54,102.9,5.3
323500.0,-3797500.0,151.08203,-34.30374,54,160.0,1669.34
331500.0,-3745500.0,151.17898,-33.83633,52,144.55,3.42
339500.0,-3762500.0,151.26229,-33.99083,52,59.65,568.15
339500.0,-3766500.0,151.26156,-34.02689,50,151.1,11.43
329500.0,-3745500.0,151.15737,-33.83601,50,176.62,11.92
308500.0,-3814500.0,150.91532,-34.45429,50,58.72,167.32
333500.0,-3785500.0,151.19296,-34.19722,50,42.13,416.13
322500.0,-3743500.0,151.08216,-33.81683,49,0.32,32.82
323500.0,-3796500.0,151.08223,-34.29472,48,154.5,617.17
334500.0,-3763500.0,151.20799,-33.99907,46,11.05,1.68
341500.0,-3766500.0,151.28321,-34.02719,46,144.96,3.55
348500.0,-3763500.0,151.35953,-34.00118,46,124.02,4086.88
336500.0,-3748500.0,151.23244,-33.86416,45,36.69,1.56
537500.0,-3927500.0,153.41343,-35.49033,44,139.59,3.94
413500.0,-3728500.0,152.06668,-33.69293,42,47.62,58.68
317500.0,-3800500.0,151.01622,-34.32974,42,61.26,1085.79
369500.0,-3755500.0,151.58805,-33.93187,42,145.12,15706.13
356500.0,-3782500.0,151.44299,-34.1736,42,20.55,2530.79
394500.0,-3721500.0,151.86254,-33.62808,40,121.7,1633.08
