cell_x,cell_y,cell_lon,cell_lat,points,direction_deg,anisotropy
281500.0,4002500.0,-5.4285,36.14263,187,80.28,4.79
281500.0,4003500.0,-5.42878,36.15163,172,14.4,2.48
281500.0,4001500.0,-5.42822,36.13362,141,89.94,2.81
280500.0,4001500.0,-5.43932,36.13339,113,71.66,2.62
246500.0,3964500.0,-5.80497,35.79192,109,132.28,1.78
287500.0,4002500.0,-5.36186,36.14396,97,90.48,3.28
254500.0,3976500.0,-5.72023,35.90202,94,124.2,1.89
286500.0,4002500.0,-5.37297,36.14374,91,120.74,1.25
282500.0,4002500.0,-5.41739,36.14285,90,134.41,8.69
253500.0,3975500.0,-5.73099,35.89276,87,117.1,325.68
286500.0,4001500.0,-5.3727,36.13473,85,91.24,4.29
280500.0,3982500.0,-5.43405,35.96225,82,17.55,30.67
278500.0,3985500.0,-5.45704,35.98882,80,4.5,1.25
283500.0,4002500.0,-5.40629,36.14307,79,137.47,16.49
256500.0,3981500.0,-5.69962,35.94755,74,178.87,5.46
280500.0,3986500.0,-5.43515,35.99828,74,131.76,5.07
283500.0,4001500.0,-5.40601,36.13407,73,122.6,9.32
257500.0,3981500.0,-5.68855,35.9478,72,178.49,11.63
250500.0,3983500.0,-5.7667,35.96405,72,178.53,69.51
277500.0,3980500.0,-5.46673,35.94355,72,124.0,131.9
265500.0,3983500.0,-5.60053,35.96777,71,21.77,4.99
277500.0,3984500.0,-5.46785,35.97958,71,118.34,125.13
279500.0,3986500.0,-5.44624,35.99805,71,113.54,40.76
279500.0,3982500.0,-5.44513,35.96202,71,16.51,5.11
258500.0,3982500.0,-5.67778,35.95705,70,4.18,2.89
255500.0,3982500.0,-5.71101,35.95631,70,0.24,173.34
285500.0,3996500.0,-5.38244,36.08947,68,112.27,5.02
259500.0,3983500.0,-5.667,35.96631,68,160.62,1.64
258500.0,3977500.0,-5.67626,35.91202,66,174.23,3.7
282500.0,4003500.0,-5.41767,36.15186,66,160.62,3.17
285500.0,3997500.0,-5.38271,36.09848,66,115.61,18.0
272500.0,3973500.0,-5.52011,35.87935,65,101.94,3.02
264500.0,3982500.0,-5.61131,35.95852,64,91.61,733.07
284500.0,3995500.0,-5.39327,36.08024,64,124.17,2.01
262500.0,3982500.0,-5.63347,35.95803,64,177.21,9.65
252500.0,3982500.0,-5.74424,35.95555,64,175.67,9.27
256500.0,3982500.0,-5.69993,35.95656,63,1.12,121.92
270500.0,3971500.0,-5.54167,35.86087,63,74.12,3.63
255500.0,3981500.0,-5.7107,35.9473,63,178.41,3.79
280500.0,4002500.0,-5.4396,36.1424,62,95.29,2.32
271500.0,3972500.0,-5.53089,35.87011,61,45.24,4.6
