product_id,needed,have,missing
S1A_IW_GRDH_1SDV_20250101T142509_20250101T142534_057252_070AF6_8BC8,2,2,
S1A_IW_GRDH_1SDV_20250102T001853_20250102T001918_057258_070B29_785E,4,4,
S1A_IW_GRDH_1SDV_20250102T015821_20250102T015850_057259_070B31_AC37,4,3,ESA_WorldCover_10m_2021_v200_N30W123_Map.tif
S1A_IW_GRDH_1SDV_20250102T054133_20250102T054158_057261_070B43_0A51,4,4,
S1A_IW_GRDH_1SDV_20250102T122317_20250102T122347_057265_070B6D_EB07,4,4,
S1A_IW_GRDH_1SDV_20250102T163008_20250102T163033_057267_070B86_350D,2,1,ESA_WorldCover_10m_2021_v200_S30E033_Map.tif
S1A_IW_GRDH_1SDV_20250102T191541_20250102T191606_057269_070B97_128E,4,4,
S1A_IW_GRDH_1SDV_20250102T191606_20250102T191631_057269_070B97_08C8,2,2,
S1A_IW_GRDH_1SDV_20250103T153907_20250103T153936_057281_070C1A_B1ED,1,1,
S1A_IW_GRDH_1SDV_20250103T213202_20250103T213231_057285_070C43_5DB2,4,4,
S1A_IW_GRDH_1SDV_20250104T021547_20250104T021611_057288_070C5C_2B74,2,2,
S1A_IW_GRDH_1SDV_20250104T035238_20250104T035303_057289_070C66_D580,2,2,
S1A_IW_GRDH_1SDV_20250104T095441_20250104T095506_057293_070C89_A4EF,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250104T095506_20250104T095531_057293_070C89_4BA6,4,3,ESA_WorldCover_10m_2021_v200_N27E123_Map.tif
S1A_IW_GRDH_1SDV_20250104T103939_20250104T104004_057293_070C8F_4A75,4,4,
S1A_IW_GRDH_1SDV_20250104T112537_20250104T112602_057293_070C93_D06A,2,2,
S1A_IW_GRDH_1SDV_20250105T083938_20250105T084003_057306_070D1A_15A7,4,4,
S1A_IW_GRDH_1SDV_20250105T224813_20250105T224838_057315_070D6B_4F1E,2,2,
S1A_IW_GRDH_1SDV_20250105T233428_20250105T233453_057315_070D70_D6F9,4,3,ESA_WorldCover_10m_2021_v200_S15W081_Map.tif
S1A_IW_GRDH_1SDV_20250106T225102_20250106T225127_057330_070E04_1904,6,5,ESA_WorldCover_10m_2021_v200_N36W072_Map.tif
S1A_IW_GRDH_1SDV_20250106T225127_20250106T225152_057330_070E04_00BA,4,4,
S1A_IW_GRDH_1SDV_20250108T083115_20250108T083144_057350_070ECD_95D9,4,3,ESA_WorldCover_10m_2021_v200_S27W045_Map.tif
S1A_IW_GRDH_1SDV_20250108T092325_20250108T092354_057351_070ED6_D190,4,4,
S1A_IW_GRDH_1SDV_20250108T141656_20250108T141721_057354_070EF9_747A,2,2,
S1A_IW_GRDH_1SDV_20250109T113412_20250109T113437_057367_070F7A_7BF1,4,4,
S1A_IW_GRDH_1SDV_20250109T135249_20250109T135314_057368_070F87_CBE3,4,4,
